nvalues,tauhats,sehats,lb,ub
10,0.592752065547888,inf,-inf,inf
15,-0.6793643628522403,0.7086436991194675,-2.0683060131263966,0.709577287421916
20,0.41719681345726656,0.4307974347765332,-0.4271661587047385,1.2615597856192715
25,0.4896507290918066,0.36266296536318315,-0.22116868302003234,1.2004701412036456
30,0.07185130728429634,0.408625252000183,-0.7290541866360624,0.872756801204655
35,0.08772502361642687,0.23382103493443093,-0.37056420485505775,0.5460142520879114
40,0.16042212966359637,0.21774213960398545,-0.2663524639602151,0.5871967232874078
45,-0.26164833503448004,0.30065725728142406,-0.8509365593060711,0.32763988923711107
50,-0.006836681138689293,0.20652606841482624,-0.4116277752317487,0.3979544129543701
55,0.30944501639168465,0.24132976314236126,-0.16356131936734342,0.7824513521507127
60,0.06780569865487962,0.25002008632969625,-0.422233670551325,0.5578450678610842
65,0.10267560392497321,0.17045471612151475,-0.23141563967319567,0.4367668475231421
70,0.32523322223937345,0.16948808566630993,-0.006963425666594025,0.6574298701453409
75,0.5420372315295849,0.16672951168973882,0.21524738861769688,0.868827074441473
80,0.22207717200860155,0.2159375042326644,-0.20116033628742064,0.6453146803046237
85,0.33065796926028335,0.1714658700399589,-0.00541513601803606,0.6667310745386028
90,0.4397740822700982,0.1425949613020301,0.1602879581181192,0.7192602064220772
95,0.0457200314499695,0.16869905944980543,-0.2849301250716491,0.3763701879715881
100,0.15490028479903417,0.16921633463289676,-0.17676373108144344,0.4865643006795118
105,0.011022984363891375,0.16577703200524133,-0.3138999983663816,0.33594596709416435
110,0.22628209231065188,0.17745856097182106,-0.12153668719411737,0.5741008718154211
115,0.021363469797019086,0.12293364229419561,-0.2195864690996043,0.2623134086936425
120,0.24584342308577156,0.13278384268963792,-0.01441290858591876,0.5060997547574619
125,0.44089001513360593,0.14986589026678762,0.14715287021070217,0.7346271600565097
130,0.11866559545427746,0.14310352312292998,-0.16181730986666532,0.39914850077522024
135,0.2303611121935507,0.15108461387213404,-0.06576473099583202,0.5264869553829334
140,0.13129777851672664,0.14642621561104802,-0.15569760408092748,0.41829316111438075
145,-0.01763064775588319,0.14334472972212706,-0.29858631801125224,0.26332502249948586
150,0.2279527949795921,0.1328806729246303,-0.032493323952683284,0.48839891391186746
155,0.1190950780398703,0.11832227195257246,-0.11281657498717171,0.35100673106691227
160,0.059926465388629946,0.10827521769272322,-0.15229296128910755,0.2721458920663674
165,-0.011206131642216288,0.11949813213260806,-0.24542247062212807,0.2230102073376955
170,0.4316163453655206,0.12405868454112758,0.18846132366491058,0.6747713670661306
175,0.11465098346332958,0.1053236145690415,-0.09178330109199176,0.3210852680186509
180,0.1641077727897451,0.11687025270481699,-0.06495792251169621,0.39317346809118636
185,0.16106383208469288,0.10937014325023042,-0.053301648685758735,0.37542931285514447
190,0.23168537726933747,0.11193879898390156,0.012285331260890403,0.45108542327778456
195,0.2605075984083979,0.11083243032161758,0.04327603497802743,0.4777391618387683
200,0.20602466254557056,0.11186881954552653,-0.013238223763661433,0.4252875488548026
205,0.40478543857601457,0.09272445815634346,0.2230455005895814,0.5865253765624477
210,0.16523983711640522,0.09797322105670599,-0.02678767615473851,0.357267350387549
215,0.14899887050765215,0.1038242002700261,-0.054496562021599,0.3524943030369033
220,0.2746189705331452,0.10907583416977318,0.060830335560389776,0.4884076055059007
225,0.16651567743862072,0.10136344378090797,-0.032156672371958905,0.36518802724920035
230,0.03993028933955056,0.09532700721747929,-0.14691064480670885,0.22677122348580997
235,0.23032433217385884,0.09645183210580195,0.041278741246487005,0.41936992310123067
240,0.14304664325422023,0.11107823785853223,-0.07466670294850294,0.36075998945694343
245,0.38497042646160695,0.09564265363653868,0.19751082533399114,0.5724300275892228
250,0.2070941962847691,0.10278932190580385,0.0056271253493935525,0.40856126722014463
255,0.12238090715761185,0.09552410204137944,-0.06484633284349184,0.30960814715871554
260,0.19342032637429019,0.0968140387526233,0.003664810419148512,0.38317584232943186
265,0.22732808955098216,0.09601326586727445,0.03914208845112424,0.4155140906508401
270,0.2749428624889311,0.08893724653218683,0.10062585928584489,0.44925986569201726
275,0.23561219670534106,0.09596376521680751,0.047523216880398345,0.4237011765302838
280,0.25375892823330815,0.09246668388901652,0.07252422781083576,0.4349936286557805
285,0.16579420408748224,0.09862360940970535,-0.02750807035554026,0.35909647853050475
290,0.1876231495228837,0.09029382508138828,0.01064725236336267,0.3645990466824047
295,0.3341661687107532,0.08522031547792912,0.16713435037401214,0.5011979870474943
300,0.1841761883581587,0.08705748135566405,0.013543524901057175,0.35480885181526023
305,0.38577900746005156,0.09708335560749039,0.1954956304693704,0.5760623844507327
310,0.1275578577799985,0.08674867910318357,-0.04246955326224128,0.2975852688222383
315,0.29384996349720494,0.0918181588991131,0.11388637205494326,0.47381355493946664
320,0.233565021977627,0.08182926540036237,0.07317966179291677,0.39395038216233724
325,0.22065725681540377,0.08600329258554004,0.052090803347745296,0.38922371028306224
330,0.14225061757720736,0.09883633378211434,-0.051468596635736746,0.3359698317901515
335,0.16141073340839324,0.07235551370275428,0.019593926550994845,0.30322754026579163
340,0.19413272657474545,0.0868337729797568,0.02393853153442213,0.36432692161506874
345,0.18885325720071966,0.08151884257491528,0.029076325753885718,0.3486301886475536
350,0.1365924826366003,0.08024756760600239,-0.0206927498711644,0.293877715144365
355,0.26685500800951967,0.078368496792857,0.11325275429551995,0.4204572617235194
